candidate_id,rank,score,reasoning
CAND_0052682,11,88.5897,"NLP Engineer at Aganitha (51-200 employees, AI/ML industry) based in Vizag, Andhra Pradesh with 6.6 years of experience. Top skills: Python (expert), QLoRA (expert), Embeddings (expert), Forecasting (advanced), Semantic Search (expert). M.E. in Information Technology from NIT Warangal [tier_1 institution]. Previously held roles as NLP Engineer. Holds certifications: Google Cloud Professional ML Engineer. Profile completeness: 85%; saved by 16 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 88%; GitHub activity score: 72/100; interview completion rate: 88%; offer acceptance rate: 85%. Actively open to work; notice period 30 days; prefers onsite work; expected salary 39.7-54.5 lpa."
CAND_0031143,12,88.2999,"ML Engineer at Freshworks (5001-10000 employees, SaaS industry) based in Bhubaneswar, Odisha with 5.5 years of experience. Top skills: Python (advanced), QLoRA (advanced), Deep Learning (advanced), Hugging Face Transformers (advanced), Time Series (intermediate). M.Tech in Mechanical Engineering from Generic State University [tier_4 institution]. Previously held roles as ML Engineer, Senior Software Engineer (ML).  Profile completeness: 67%; saved by 25 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 76/100; interview completion rate: 86%. Notice period 120 days; prefers hybrid work; expected salary 24.8-40.1 lpa."
CAND_0016163,13,88.118,"Applied ML Engineer at Dream11 (1001-5000 employees, Gaming industry) based in Gurgaon, Haryana with 6.7 years of experience. Top skills: LoRA (advanced), Time Series (advanced), pgvector (expert), TensorFlow (expert), Machine Learning (expert). M.E. in Machine Learning from Jadavpur University [tier_2 institution]. Previously held roles as NLP Engineer, Applied ML Engineer.  Profile completeness: 90%; saved by 13 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 72%; GitHub activity score: 95/100; interview completion rate: 62%; offer acceptance rate: 85%. Actively open to work; notice period 120 days; prefers remote work; expected salary 33.0-44.8 lpa."
CAND_0044883,14,88.0879,"AI Engineer at Mad Street Den (201-500 employees, AI/ML industry) based in Berlin with 6.3 years of experience. Top skills: Embeddings (advanced), TensorFlow (expert), PyTorch (expert), Prompt Engineering (expert), Fine-tuning LLMs (expert). B.Sc in Machine Learning from SRM Chennai [tier_3 institution]. Previously held roles as Search Engineer, Recommendation Systems Engineer. Holds certifications: NLP Specialization, AWS Certified Machine Learning Specialty. Profile completeness: 58%; saved by 59 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 70/100; interview completion rate: 77%; offer acceptance rate: 71%. Notice period 90 days; willing to relocate; prefers hybrid work; expected salary 31.4-44.7 lpa."
CAND_0065195,15,88.0194,"Search Engineer at CRED (1001-5000 employees, Fintech industry) based in Kolkata, West Bengal with 5.1 years of experience. Top skills: Hugging Face Transformers (advanced), LlamaIndex (expert), Diffusion Models (advanced), LLMs (expert), Elasticsearch (expert). M.Sc in Artificial Intelligence from IIT Bombay [tier_1 institution]. Previously held roles as Senior Data Scientist.  Profile completeness: 56%; saved by 13 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 80%; GitHub activity score: 87/100; interview completion rate: 91%; offer acceptance rate: 43%. Actively open to work; notice period 45 days; prefers flexible work; expected salary 42.4-62.4 lpa."
CAND_0018722,16,87.9577,"Recommendation Systems Engineer at Saarthi.ai (11-50 employees, Voice AI industry) based in Toronto with 6.6 years of experience. Top skills: TensorFlow (expert), GANs (advanced), Hugging Face Transformers (expert), scikit-learn (advanced), Data Science (advanced). B.Tech in Artificial Intelligence from Manipal Institute of Technology [tier_2 institution]. Previously held roles as Applied ML Engineer, Machine Learning Engineer. Holds certifications: NLP Specialization. Profile completeness: 63%; saved by 16 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 79%; GitHub activity score: 94/100; interview completion rate: 91%; offer acceptance rate: 59%. Actively open to work; notice period 90 days; willing to relocate; prefers onsite work; expected salary 30.2-41.9 lpa."
CAND_0074735,17,87.8979,"Applied ML Engineer at Rephrase.ai (11-50 employees, AI/ML industry) based in Chandigarh, Chandigarh with 5.5 years of experience. Top skills: GANs (advanced), Kubeflow (advanced), Prompt Engineering (expert), ASR (advanced), Semantic Search (advanced). M.E. in Artificial Intelligence from Carnegie Mellon University [tier_1 institution]. Previously held roles as NLP Engineer, Search Engineer. Holds certifications: AWS Certified Machine Learning Specialty. Profile completeness: 93%; saved by 31 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 77%; GitHub activity score: 88/100; interview completion rate: 78%; offer acceptance rate: 80%. Actively open to work; notice period 90 days; prefers onsite work; expected salary 34.2-45.3 lpa."
CAND_0006418,18,87.8965,"Machine Learning Engineer at Verloop.io (51-200 employees, Conversational AI industry) based in Gurgaon, Haryana with 5.7 years of experience. Top skills: Elasticsearch (advanced), OpenSearch (expert), Time Series (advanced), Qdrant (expert), Embeddings (expert). M.S. in Data Science from Stanford University [tier_1 institution]. Previously held roles as AI Engineer.  Profile completeness: 74%; saved by 9 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 92%; GitHub activity score: 60/100; interview completion rate: 89%; offer acceptance rate: 51%. Actively open to work; notice period 60 days; willing to relocate; prefers remote work; expected salary 41.9-62.9 lpa."
CAND_0049538,19,87.8622,"Applied ML Engineer at Saarthi.ai (11-50 employees, Voice AI industry) based in Jaipur, Rajasthan with 5.8 years of experience. Top skills: Elasticsearch (expert), Milvus (expert), TTS (advanced), Vector Search (advanced), Recommendation Systems (advanced). B.E. in Data Science from NIT Warangal [tier_1 institution]. Previously held roles as AI Engineer, Recommendation Systems Engineer.  Profile completeness: 53%; saved by 60 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 72%; GitHub activity score: 91/100; interview completion rate: 67%; offer acceptance rate: 59%. Notice period 30 days; prefers remote work; expected salary 40.0-64.9 lpa."
CAND_0017960,20,87.6823,"Recommendation Systems Engineer at Nykaa (1001-5000 employees, E-commerce industry) based in Bangalore, Karnataka with 7.7 years of experience. Top skills: Python (advanced), BentoML (advanced), QLoRA (expert), Hugging Face Transformers (expert), Data Science (intermediate). B.Sc in Information Technology from IIT Delhi [tier_1 institution]. Previously held roles as NLP Engineer, Search Engineer. Holds certifications: Deep Learning Specialization, AWS Certified Machine Learning Specialty. Profile completeness: 71%; saved by 43 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 72%; GitHub activity score: 92/100; interview completion rate: 64%; offer acceptance rate: 64%. Actively open to work; notice period 60 days; willing to relocate; prefers hybrid work; expected salary 35.2-55.4 lpa."
CAND_0096142,21,87.6683,"Applied ML Engineer at upGrad (1001-5000 employees, EdTech industry) based in Hyderabad, Telangana with 5.0 years of experience. Top skills: Weights & Biases (advanced), BentoML (advanced), RAG (advanced), Weaviate (advanced), NLP (expert). M.Tech in Machine Learning from IIIT Bangalore [tier_1 institution]. Previously held roles as Applied ML Engineer. Holds certifications: AWS Certified Machine Learning Specialty. Profile completeness: 67%; saved by 18 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 80/100; interview completion rate: 55%; offer acceptance rate: 82%. Actively open to work; notice period 120 days; prefers hybrid work; expected salary 34.3-59.3 lpa."
CAND_0073883,22,87.6669,"AI Specialist at Krutrim (201-500 employees, AI/ML industry) based in Chandigarh, Chandigarh with 5.3 years of experience. Top skills: PEFT (advanced), Forecasting (advanced), Image Classification (advanced), Python (intermediate), PowerPoint (intermediate). M.E. in Artificial Intelligence from Lovely Professional University [tier_3 institution]. Previously held roles as Junior ML Engineer, AI Specialist.  Profile completeness: 89%; saved by 42 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 92%; GitHub activity score: 66/100; interview completion rate: 68%. Actively open to work; notice period 90 days; willing to relocate; prefers flexible work; expected salary 27.2-35.4 lpa."
CAND_0033911,23,87.6185,"Data Scientist at Mad Street Den (201-500 employees, AI/ML industry) based in Delhi, Delhi with 6.9 years of experience. Top skills: MLOps (advanced), MLflow (advanced), Sentence Transformers (advanced), Learning to Rank (advanced), FAISS (advanced). Ph.D in Information Technology from Anna University [tier_2 institution]. Previously held roles as AI Research Engineer, Data Scientist.  Profile completeness: 77%; saved by 14 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 76%; GitHub activity score: 78/100; interview completion rate: 68%; offer acceptance rate: 60%. Notice period 120 days; prefers flexible work; expected salary 22.1-51.2 lpa."
CAND_0073314,24,87.5608,"Senior Software Engineer (ML) at Aganitha (51-200 employees, AI/ML industry) based in Noida, Uttar Pradesh with 5.2 years of experience. Top skills: ASR (advanced), PEFT (advanced), BentoML (advanced), Weights & Biases (intermediate), MLOps (intermediate). B.Tech in Computer Engineering from VJTI Mumbai [tier_2 institution]. Previously held roles as ML Engineer.  Profile completeness: 94%; saved by 23 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 67/100; interview completion rate: 55%; offer acceptance rate: 67%. Actively open to work; notice period 60 days; willing to relocate; prefers remote work; expected salary 36.7-54.2 lpa."
CAND_0068985,25,87.5602,"Senior Software Engineer (ML) at Locobuzz (51-200 employees, AI/ML industry) based in New York with 5.2 years of experience. Top skills: Speech Recognition (advanced), TensorFlow (advanced), Machine Learning (advanced), Diffusion Models (advanced), Time Series (advanced). M.Tech in Data Science from VJTI Mumbai [tier_2 institution]. Previously held roles as ML Engineer, Computer Vision Engineer. Holds certifications: AWS Certified Machine Learning Specialty, Google Cloud Professional ML Engineer. Profile completeness: 54%; saved by 30 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 88%; GitHub activity score: 62/100; interview completion rate: 73%; offer acceptance rate: 46%. Notice period 90 days; willing to relocate; prefers onsite work; expected salary 31.4-28.5 lpa."
CAND_0052431,26,87.5244,"ML Engineer at Swiggy (5001-10000 employees, Food Delivery industry) based in Ahmedabad, Gujarat with 5.3 years of experience. Top skills: Reinforcement Learning (advanced), Time Series (advanced), Milvus (advanced), MLOps (intermediate), Tailwind (beginner). Ph.D in Artificial Intelligence from IIT Hyderabad [tier_1 institution]. Previously held roles as ML Engineer.  Profile completeness: 52%; saved by 44 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 85%; GitHub activity score: 78/100; interview completion rate: 89%; offer acceptance rate: 53%. Notice period 45 days; willing to relocate; prefers flexible work; expected salary 36.0-48.5 lpa."
CAND_0058146,27,87.5178,"AI Research Engineer at PolicyBazaar (5001-10000 employees, Insurance Tech industry) based in Ahmedabad, Gujarat with 5.1 years of experience. Top skills: Qdrant (advanced), Hugging Face Transformers (advanced), LLMs (advanced), OpenCV (intermediate), MLOps (intermediate). M.S. in Computer Engineering from IIIT Bangalore [tier_1 institution]. Previously held roles as Junior ML Engineer, Senior Software Engineer (ML).  Profile completeness: 78%; saved by 32 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 79%; GitHub activity score: 80/100; interview completion rate: 95%. Notice period 45 days; prefers remote work; expected salary 30.7-40.2 lpa."
CAND_0024990,28,87.4791,"Junior ML Engineer at Zoho (10001+ employees, SaaS industry) based in Trivandrum, Kerala with 5.2 years of experience. Top skills: Computer Vision (advanced), LLMs (advanced), Elasticsearch (advanced), OpenSearch (intermediate), Kafka (intermediate). M.Tech in Artificial Intelligence from Symbiosis International [tier_3 institution]. Previously held roles as ML Engineer.  Profile completeness: 92%; saved by 26 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 83%; GitHub activity score: 80/100; interview completion rate: 61%; offer acceptance rate: 26%. Actively open to work; notice period 60 days; prefers onsite work; expected salary 27.3-31.0 lpa."
CAND_0098217,29,87.4158,"ML Engineer at Glance (501-1000 employees, AI/ML industry) based in Noida, Uttar Pradesh with 6.4 years of experience. Top skills: PEFT (advanced), Weights & Biases (advanced), Statistical Modeling (advanced), Pinecone (advanced), Reinforcement Learning (intermediate). Ph.D in Artificial Intelligence from Carnegie Mellon University [tier_1 institution]. Previously held roles as Junior ML Engineer.  Profile completeness: 62%; saved by 42 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 81/100; interview completion rate: 75%; offer acceptance rate: 76%. Actively open to work; notice period 45 days; prefers hybrid work; expected salary 34.8-49.5 lpa."
CAND_0002793,30,87.3668,"AI Specialist at Meesho (1001-5000 employees, E-commerce industry) based in Trivandrum, Kerala with 5.5 years of experience. Top skills: pgvector (advanced), Information Retrieval (advanced), ASR (advanced), MLOps (advanced), LangChain (advanced). B.Sc in Artificial Intelligence from Carnegie Mellon University [tier_1 institution]. Previously held roles as Computer Vision Engineer.  Profile completeness: 47%; saved by 10 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 77%; GitHub activity score: 82/100; interview completion rate: 94%. Notice period 30 days; prefers hybrid work; expected salary 23.5-47.5 lpa."
CAND_0094165,31,87.3225,"AI Research Engineer at PhonePe (5001-10000 employees, Fintech industry) based in Chandigarh, Chandigarh with 5.8 years of experience. Top skills: Object Detection (advanced), Time Series (advanced), pgvector (advanced), Speech Recognition (intermediate), Hadoop (intermediate). Ph.D in Data Science from Generic State University [tier_4 institution]. Previously held roles as Junior ML Engineer, AI Research Engineer. Holds certifications: NLP Specialization. Profile completeness: 86%; saved by 16 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 78%; GitHub activity score: 82/100; interview completion rate: 74%. Actively open to work; notice period 90 days; prefers remote work; expected salary 22.4-33.3 lpa."
CAND_0024147,32,87.2973,"ML Engineer at Ola (5001-10000 employees, Transportation industry) based in Jaipur, Rajasthan with 5.9 years of experience. Top skills: Qdrant (advanced), Feature Engineering (advanced), Computer Vision (intermediate), Reinforcement Learning (intermediate), ASR (intermediate). B.E. in Computer Science from Thapar University [tier_2 institution]. Previously held roles as Data Scientist.  Profile completeness: 91%; saved by 31 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 70/100; interview completion rate: 53%. Actively open to work; notice period 60 days; prefers onsite work; expected salary 19.3-30.4 lpa."
CAND_0081053,33,87.2201,"NLP Engineer at Glance (501-1000 employees, AI/ML industry) based in Chandigarh, Chandigarh with 5.4 years of experience. Top skills: Machine Learning (expert), Image Classification (advanced), QLoRA (expert), OpenSearch (expert), Weaviate (expert). B.Tech in Information Technology from IIT Madras [tier_1 institution]. Previously held roles as Machine Learning Engineer. Holds certifications: AWS Certified Machine Learning Specialty, LangChain for LLM Application Development. Profile completeness: 58%; saved by 40 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 83%; GitHub activity score: 78/100; interview completion rate: 79%. Actively open to work; notice period 90 days; willing to relocate; prefers flexible work; expected salary 43.9-46.7 lpa."
CAND_0076482,34,87.1895,"ML Engineer at Flipkart (10001+ employees, E-commerce industry) based in Austin with 6.6 years of experience. Top skills: BentoML (advanced), TTS (advanced), Feature Engineering (advanced), Pinecone (advanced), RAG (advanced). M.E. in Data Science from UC Berkeley [tier_1 institution]. Previously held roles as Junior ML Engineer, Computer Vision Engineer.  Profile completeness: 83%; saved by 9 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 86%; GitHub activity score: 79/100; interview completion rate: 94%; offer acceptance rate: 68%. Actively open to work; notice period 60 days; willing to relocate; prefers hybrid work; expected salary 32.0-31.4 lpa."
CAND_0026716,35,87.1704,"Computer Vision Engineer at PharmEasy (5001-10000 employees, HealthTech industry) based in Trivandrum, Kerala with 5.6 years of experience. Top skills: TTS (advanced), Diffusion Models (advanced), Fine-tuning LLMs (advanced), OpenCV (advanced), MLOps (advanced). B.Sc in Machine Learning from Stanford University [tier_1 institution]. Previously held roles as AI Research Engineer, Computer Vision Engineer. Holds certifications: Deep Learning Specialization, LangChain for LLM Application Development. Profile completeness: 64%; saved by 4 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 82%; GitHub activity score: 79/100; interview completion rate: 53%; offer acceptance rate: 82%. Actively open to work; notice period 60 days; willing to relocate; prefers flexible work; expected salary 19.5-32.6 lpa."
CAND_0077498,36,87.0837,"Senior Software Engineer (ML) at Niramai (51-200 employees, HealthTech AI industry) based in Ahmedabad, Gujarat with 5.4 years of experience. Top skills: MLflow (advanced), BM25 (advanced), OpenCV (advanced), Data Science (advanced), JavaScript (intermediate). M.E. in Data Science from Lovely Professional University [tier_3 institution]. Previously held roles as AI Research Engineer. Holds certifications: NLP Specialization, Google Cloud Professional ML Engineer. Profile completeness: 91%; saved by 47 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 89%; GitHub activity score: 58/100; interview completion rate: 76%. Actively open to work; notice period 60 days; prefers hybrid work; expected salary 18.7-39.5 lpa."
CAND_0052328,37,87.0733,"Recommendation Systems Engineer at Amazon (10001+ employees, Internet industry) based in Pune, Maharashtra with 6.5 years of experience. Top skills: QLoRA (expert), Learning to Rank (expert), Image Classification (advanced), Vector Search (expert), OpenSearch (expert). B.Sc in Computer Science from VIT Vellore [tier_2 institution]. Previously held roles as Senior Data Scientist. Holds certifications: NLP Specialization, Google Cloud Professional ML Engineer. Profile completeness: 77%; saved by 31 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 79%; GitHub activity score: 78/100; interview completion rate: 95%; offer acceptance rate: 54%. Actively open to work; notice period 30 days; prefers hybrid work; expected salary 23.6-53.9 lpa."
CAND_0053591,38,87.0522,"AI Engineer at Ola (5001-10000 employees, Transportation industry) based in Toronto with 5.3 years of experience. Top skills: Sentence Transformers (expert), Embeddings (advanced), Statistical Modeling (advanced), BM25 (advanced), LangChain (advanced). M.Tech in Information Technology from Anna University [tier_2 institution]. Previously held roles as AI Engineer. Holds certifications: Google Cloud Professional ML Engineer, AWS Certified Machine Learning Specialty. Profile completeness: 72%; saved by 40 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 81%; GitHub activity score: 76/100; interview completion rate: 97%; offer acceptance rate: 62%. Actively open to work; notice period 60 days; prefers onsite work; expected salary 37.0-63.0 lpa."
CAND_0061257,39,86.9376,"Staff Machine Learning Engineer at LinkedIn (10001+ employees, Internet industry) based in Noida, Uttar Pradesh with 8.0 years of experience. Top skills: Workflow Orchestration (expert), Indexing Algorithms (expert), Vector Representations (expert), Model Adaptation (expert), Python (expert). M.S. in Computer Science from VJTI Mumbai [tier_2 institution]. Previously held roles as Senior Applied Scientist.  Profile completeness: 93%; saved by 80 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 87%; GitHub activity score: 45/100; interview completion rate: 80%. Actively open to work; notice period 30 days; prefers hybrid work; expected salary 49.7-52.3 lpa."
CAND_0068932,40,86.767,"ML Engineer at Krutrim (201-500 employees, AI/ML industry) based in Noida, Uttar Pradesh with 5.2 years of experience. Top skills: Reinforcement Learning (advanced), OpenSearch (advanced), CNN (advanced), MLOps (advanced), RAG (advanced). M.S. in Electrical Engineering from Amity University [tier_3 institution]. Previously held roles as Computer Vision Engineer. Holds certifications: Deep Learning Specialization, AWS Certified Machine Learning Specialty. Profile completeness: 95%; saved by 26 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 82%; GitHub activity score: 70/100; interview completion rate: 64%. Actively open to work; notice period 30 days; willing to relocate; prefers hybrid work; expected salary 16.9-31.5 lpa."
CAND_0026942,41,86.7533,"Junior ML Engineer at Verloop.io (51-200 employees, Conversational AI industry) based in Chandigarh, Chandigarh with 6.0 years of experience. Top skills: OpenCV (advanced), Recommendation Systems (advanced), Data Science (advanced), TensorFlow (advanced), Haystack (advanced). M.Sc in Artificial Intelligence from VJTI Mumbai [tier_2 institution]. Previously held roles as AI Specialist. Holds certifications: LangChain for LLM Application Development, Google Cloud Professional ML Engineer. Profile completeness: 93%; saved by 17 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 67/100; interview completion rate: 60%; offer acceptance rate: 80%. Actively open to work; notice period 30 days; willing to relocate; prefers remote work; expected salary 18.6-39.1 lpa."
CAND_0064326,42,86.6135,"Search Engineer at Sarvam AI (51-200 employees, AI/ML industry) based in Gurgaon, Haryana with 7.6 years of experience. Top skills: Deep Learning (expert), RAG (expert), Weaviate (expert), scikit-learn (advanced), Semantic Search (advanced). B.Tech in Computer Science from COEP Pune [tier_2 institution]. Previously held roles as Machine Learning Engineer.  Profile completeness: 54%; saved by 60 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 94%; GitHub activity score: 61/100; interview completion rate: 90%. Actively open to work; notice period 45 days; prefers onsite work; expected salary 29.2-38.5 lpa."
CAND_0046353,43,86.5577,"ML Engineer at Razorpay (1001-5000 employees, Fintech industry) based in Gurgaon, Haryana with 6.4 years of experience. Top skills: PyTorch (advanced), FAISS (advanced), NLP (advanced), MLflow (advanced), Weaviate (advanced). M.Sc in Computer Science from UC Berkeley [tier_1 institution]. Previously held roles as Computer Vision Engineer, Data Scientist. Holds certifications: NLP Specialization. Profile completeness: 77%; saved by 2 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 73%; GitHub activity score: 77/100; interview completion rate: 85%; offer acceptance rate: 78%. Actively open to work; notice period 120 days; prefers remote work; expected salary 28.7-44.8 lpa."
